48# Number of electrodes
# x z
0.000     0.000
1.000     0.000
2.000     0.000
3.000     0.000
4.000     0.000
5.000     0.000
6.000     0.000
7.000     0.000
8.000     0.000
9.000     0.000
10.000     0.000
11.000     0.000
12.000     0.000
13.000     0.000
14.000     0.000
15.000     0.000
16.000     0.000
17.000     0.000
18.000     0.000
19.000     0.000
20.000     0.000
21.000     0.000
22.000     0.000
23.000     0.000
24.000     0.000
25.000     0.000
26.000     0.000
27.000     0.000
28.000     0.000
29.000     0.000
30.000     0.000
31.000     0.000
32.000     0.000
33.000     0.000
34.000     0.000
35.000     0.000
36.000     0.000
37.000     0.000
38.000     0.000
39.000     0.000
40.000     0.000
41.000     0.000
42.000     0.000
43.000     0.000
44.000     0.000
45.000     0.000
46.000     0.000
47.000     0.000
909# Number of data
# a b m n rhoa
2 5 17 14 648.199
3 6 18 15 727.698
4 7 19 16 657.455
5 8 20 17 552.968
6 9 21 18 610.239
7 10 22 19 790.553
8 11 23 20 822.412
9 12 24 21 788.734
10 13 25 22 722.873
11 14 26 23 787.050
12 15 27 24 901.663
13 16 28 25 1111.050
14 17 29 26 1275.330
15 18 30 27 1237.393
16 19 31 28 1086.715
17 20 32 29 962.804
18 21 33 30 810.618
19 22 34 31 655.241
20 23 35 32 529.316
21 24 36 33 425.570
22 25 37 34 376.374
23 26 38 35 350.108
24 27 39 36 360.063
25 28 40 37 384.718
26 29 41 38 374.604
27 30 42 39 419.832
28 31 43 40 436.946
29 32 44 41 477.435
30 33 45 42 498.501
31 34 46 43 469.418
32 35 47 44 434.595
33 36 48 45 434.047
1 4 19 16 408.116
2 5 20 17 381.729
3 6 21 18 378.727
4 7 22 19 312.266
5 8 23 20 260.236
6 9 24 21 263.960
7 10 25 22 346.098
8 11 26 23 465.855
9 12 27 24 592.757
10 13 28 25 647.815
11 14 29 26 700.589
12 15 30 27 701.328
13 16 31 28 705.038
14 17 32 29 737.271
15 18 33 30 680.645
16 19 34 31 597.722
17 20 35 32 494.921
18 21 36 33 364.242
19 22 37 34 276.760
20 23 38 35 209.957
21 24 39 36 190.427
22 25 40 37 191.137
23 26 41 38 212.549
24 27 42 39 258.315
25 28 43 40 300.201
26 29 44 41 328.383
27 30 45 42 390.668
28 31 46 43 461.026
29 32 47 44 488.477
30 33 48 45 556.256
1 4 22 19 197.371
2 5 23 20 177.819
3 6 24 21 174.513
4 7 25 22 145.611
5 8 26 23 155.530
6 9 27 24 234.575
7 10 28 25 359.019
8 11 29 26 426.134
9 12 30 27 449.069
10 13 31 28 410.182
11 14 32 29 409.232
12 15 33 30 385.073
13 16 34 31 382.310
14 17 35 32 362.989
15 18 36 33 304.595
16 19 37 34 251.085
17 20 38 35 200.731
18 21 39 36 166.839
19 22 40 37 149.815
20 23 41 38 134.220
21 24 42 39 143.864
22 25 43 40 150.914
23 26 44 41 147.136
24 27 45 42 228.497
25 28 46 43 274.800
26 29 47 44 330.674
27 30 48 45 384.571
1 5 25 21 128.175
2 6 26 22 134.400
3 7 27 23 141.156
4 8 28 24 167.365
5 9 29 25 210.530
6 10 30 26 266.584
7 11 31 27 297.262
8 12 32 28 316.389
9 13 33 29 319.532
10 14 34 30 292.165
11 15 35 31 272.501
12 16 36 32 251.242
13 17 37 33 227.305
14 18 38 34 203.449
15 19 39 35 174.686
16 20 40 36 160.469
17 21 41 37 147.036
18 22 42 38 133.271
19 23 43 39 130.442
20 24 44 40 126.636
21 25 45 41 115.803
22 26 46 42 95.177
23 27 47 43 166.580
24 28 48 44 250.572
1 5 29 25 133.189
2 6 30 26 139.628
3 7 31 27 123.810
4 8 32 28 114.979
5 9 33 29 125.745
6 10 34 30 144.503
7 11 35 31 155.671
8 12 36 32 154.093
9 13 37 33 138.998
10 14 38 34 122.373
11 15 39 35 110.144
12 16 40 36 115.781
13 17 41 37 121.528
14 18 42 38 125.761
15 19 43 39 138.470
16 20 44 40 131.192
17 21 45 41 125.123
18 22 46 42 119.454
19 23 47 43 114.037
20 24 48 44 130.429
1 6 31 26 134.201
2 7 32 27 118.616
3 8 33 28 107.774
4 9 34 29 116.886
5 10 35 30 130.597
6 11 36 31 133.006
7 12 37 32 134.450
8 13 38 33 125.266
9 14 39 34 115.159
10 15 40 35 109.365
11 16 41 36 111.766
12 17 42 37 116.283
13 18 43 38 122.496
14 19 44 39 133.945
15 20 45 40 128.388
16 21 46 41 127.159
17 22 47 42 129.308
18 23 48 43 130.714
1 6 36 31 83.404
2 7 37 32 67.647
3 8 38 33 59.629
4 9 39 34 58.868
5 10 40 35 66.640
6 11 41 36 73.026
7 12 42 37 83.866
8 13 43 38 94.672
9 14 44 39 104.944
10 15 45 40 100.946
11 16 46 41 111.179
12 17 47 42 128.978
13 18 48 43 154.029
1 7 37 31 76.935
2 8 38 32 64.904
3 9 39 33 63.642
4 10 40 34 70.297
5 11 41 35 73.545
6 12 42 36 80.439
7 13 43 37 89.270
8 14 44 38 98.178
9 15 45 39 106.447
10 16 46 40 109.361
11 17 47 41 125.402
12 18 48 42 148.746
1 7 43 37 58.729
2 8 44 38 58.078
3 9 45 39 63.612
4 10 46 40 73.159
5 11 47 41 87.766
6 12 48 42 113.519
1 10 46 37 68.618
2 11 47 38 78.248
3 12 48 39 94.540
